The Crash,Finland,,Group,1998,2009-07-05,"['Unknown']"
Baskervilles,Unknown,,Group,1997,,"['Unknown']"
Vița de Vie,Unknown,,Group,1996,,"['Rock','Alternative','Metal']"
Jean Grae,Unknown,Female,Person,1976-11-26,,"['Rap','Hip hop']"
Cascada,Germany,,Group,2004,,"['Trance','Dance','House','Vocal','Pop']"
Hair Police,USA,,Group,2001-01,,"['Unknown']"
The Aquabats!,USA,,Group,1994,,"['Unknown']"
The Russian Futurists,Canada,,Person,,,"['Unknown']"
Arno,Belgium,Male,Person,1949-05-21,,"['Rock','Pop','Classic']"
Vladislav Delay,Finland,Male,Person,1976,,"['Downtempo','Ambient']"
Adorable,United Kingdom,,Group,1991,1994,"['Unknown']"
Medwyn Goodall,United Kingdom,Male,Person,1961,,"['Unknown']"
The Stands,United Kingdom,,Group,2002,2005,"['Unknown']"
London Elektricity,United Kingdom,,Group,1996,,"['Bass','Electro','Drum','Dance','Funk']"
Clem Snide,USA,,Group,1991,,"['Country']"
Pama International,United Kingdom,,Group,,,"['Ska','Reggae']"
Rhys Chatham,USA,Male,Person,1952-09-19,,"['Unknown']"
The Summer Obsession,Unknown,,Group,,,"['Unknown']"
The Thrills,Ireland,,Group,2001,,"['Rock','Indie']"
Gorilla Biscuits,USA,,Group,1987,1991,"['Unknown']"
Qua,Unknown,,Person,2001,,"['Unknown']"
Wulfgar,Sweden,,Group,2004,,"['Unknown']"
Dave Weckl Band,Unknown,,Group,1998,,"['Unknown']"
Maartin Allcock,United Kingdom,Male,Person,1957-01-05,,"['Unknown']"
The 101ers,United Kingdom,,Group,1974,1976,"['Rock','Punk']"
Set Your Goals,USA,,Group,2004,,"['Unknown']"
Hedley,Canada,,Group,2004,,"['Pop']"
Busy P,France,Male,Person,1975-04-21,,"['Unknown']"
.38 Special,USA,,Group,1974,,"['Rock','Pop','Classic']"
Architects,United Kingdom,,Group,2004,,"['Rock','Indie','Metal']"
Cactus World News,Ireland,,Group,1984-04,,"['Unknown']"
Los Fastidios,Italy,,Group,1991,,"['Punk']"
Toadies,USA,,Group,1989,,"['Alternative']"
Lucky Dragons,USA,,Group,1999,,"['Unknown']"
Catherine Major,Unknown,Female,Person,1980,,"['Unknown']"
Chants of Maldoror,Italy,,Group,1994-12-22,,"['Unknown']"
Stella,Finland,,Group,2002,,"['Unknown']"
Classix Nouveaux,United Kingdom,,Group,1979,1985,"['Romantic']"
Daft Punk,France,,Group,1992,,"['Dance','House','Electro']"
Bloody Dead and Sexy,Germany,,Group,,,"['Unknown']"
Joseph Arthur & The Lonely Astronauts,USA,,Group,,,"['Unknown']"
Samantha James,USA,Female,Person,,,"['Unknown']"
Massari,Unknown,Male,Person,,,"['Unknown']"
Cream,United Kingdom,,Group,1966-07,1968-11,"['Classic','Rock','Psychedelic','Blues','Pop']"
